"","year","month","GEO","pop","protests","retail","oil","food","manufac","power"
"1",2022,"April","Alberta",4480956,17,7989056,3983,868863,9421575,6069621
"2",2022,"April","British Columbia",5310164,42,8959229,77433,1222442,5904432,5240902
"3",2022,"April","Manitoba",1405197,2,2083495,6290,194206,2000977,2168371
"4",2022,"April","New Brunswick",801778,5,1340707,1818,116742,2460804,1171958
"5",2022,"April","Newfoundland and Labrador",529249,2,920444,77160,78292,346772,686123
"6",2022,"April","Northwest Territories",44828,0,76390,0,5724,584,58889
"7",2022,"April","Nova Scotia",1014827,2,1689162,47821,164055,928882,899107
"8",2022,"April","Nunavut",40489,0,48635,0,1861,1856,16071
"9",2022,"April","Ontario",15046211,46,24616762,267687,2682207,31728284,10717875
"10",2022,"April","Prince Edward Island",165524,0,269014,0,30470,285508,129091
"11",2022,"April","Quebec",8627524,26,13896378,228362,1314059,18280632,17514950
"12",2022,"April","Saskatchewan",1173366,5,2048833,1285,178681,2120037,1869556
"13",2022,"April","Yukon",43454,2,88900,0,7819,3601,43778
"14",2022,"August","Alberta",4510891,6,8312320,4388,906253,8976474,6783590
"15",2022,"August","British Columbia",5356284,19,9144939,151630,1233372,5723411,4870866
"16",2022,"August","Manitoba",1413409,6,2231006,4489,198691,2156220,2054341
"17",2022,"August","New Brunswick",809568,4,1368487,2311,116593,2241491,997796
"18",2022,"August","Newfoundland and Labrador",531583,5,958844,150263,78940,264056,684606
"19",2022,"August","Northwest Territories",44685,0,75755,36714,5832,984,51834
"20",2022,"August","Nova Scotia",1025445,8,1714108,57149,166828,906456,847062
"21",2022,"August","Nunavut",40485,0,48163,0,2375,4295,14405
"22",2022,"August","Ontario",15145006,28,24320748,256796,2754474,30944157,12987686
"23",2022,"August","Prince Edward Island",167188,1,281978,0,33239,238437,115815
"24",2022,"August","Quebec",8672185,8,14351635,358902,1395697,17012905,15068395
"25",2022,"August","Saskatchewan",1178422,4,2110437,1606,181882,2175991,2063730
"26",2022,"August","Yukon",43905,0,92845,0,7493,3354,38095
"27",2022,"December","Alberta",4561350,4,8431294,2616,937555,8617749,7146188
"28",2022,"December","British Columbia",5403528,16,8960346,167172,1285432,5496946,6876391
"29",2022,"December","Manitoba",1423596,8,2275146,3608,208406,2056120,2876953
"30",2022,"December","New Brunswick",817766,7,1376248,1233,121964,2084289,1415122
"31",2022,"December","Newfoundland and Labrador",533444,0,952611,185315,83785,371975,1131205
"32",2022,"December","Northwest Territories",44664,0,75236,0,6427,804,70778
"33",2022,"December","Nova Scotia",1035666,6,1751762,55983,174339,879554,1073346
"34",2022,"December","Nunavut",40431,0,49783,0,NA,2888,15010
"35",2022,"December","Ontario",15283961,38,24556102,114398,2867713,31071747,12890152
"36",2022,"December","Prince Edward Island",169146,1,288985,0,33960,265634,161675
"37",2022,"December","Quebec",8730868,25,14484510,297220,1456824,17964963,21380792
"38",2022,"December","Saskatchewan",1187607,1,2140771,1425,193297,2362676,2420983
"39",2022,"December","Yukon",44113,0,89672,307,7697,3572,68507
"40",2022,"February","Alberta",4465537,42,7794531,2311,843495,8629092,5952095
"41",2022,"February","British Columbia",5286478,35,8832092,56639,1187563,5832759,5675761
"42",2022,"February","Manitoba",1400663,22,2144870,3877,177460,2022267,2644092
"43",2022,"February","New Brunswick",798656,16,1336770,33734,110261,2210765,1483608
"44",2022,"February","Newfoundland and Labrador",528977,1,903733,81776,73373,304927,752737
"45",2022,"February","Northwest Territories",44791,1,72514,0,5382,2029,65084
"46",2022,"February","Nova Scotia",1010460,7,1707012,0,153436,874999,1060070
"47",2022,"February","Nunavut",40285,1,48275,0,2155,1936,17178
"48",2022,"February","Ontario",14999441,91,24310029,114166,2423818,30024531,11683200
"49",2022,"February","Prince Edward Island",164195,5,270626,0,28763,223063,138145
"50",2022,"February","Quebec",8613999,26,14033311,261073,1208015,17442247,21890451
"51",2022,"February","Saskatchewan",1171031,11,2049255,1616,173912,1880361,2032740
"52",2022,"February","Yukon",43063,2,86471,0,6918,2596,50853
"53",2022,"January","Alberta",4465537,18,7679581,2442,759775,8101486,6879472
"54",2022,"January","British Columbia",5286478,42,8827284,69664,1033526,5570395,5996703
"55",2022,"January","Manitoba",1400663,8,2090269,2893,155613,1845320,2917343
"56",2022,"January","New Brunswick",798656,8,1333776,1274,91605,2017001,1736016
"57",2022,"January","Newfoundland and Labrador",528977,3,927147,132480,64729,264436,887826
"58",2022,"January","Northwest Territories",44791,3,74289,0,4711,1435,70307
"59",2022,"January","Nova Scotia",1010460,3,1610536,144972,129962,836638,1203542
"60",2022,"January","Nunavut",40285,0,50130,0,1473,631,18626
"61",2022,"January","Ontario",14999441,44,24234561,153320,1916531,27714250,13360681
"62",2022,"January","Prince Edward Island",164195,2,270363,0,23022,223492,173892
"63",2022,"January","Quebec",8613999,17,14036098,94466,884990,16949941,25839325
"64",2022,"January","Saskatchewan",1171031,3,2016840,1316,157493,1776269,2361940
"65",2022,"January","Yukon",43063,6,86483,71,6125,2767,62834
"66",2022,"July","Alberta",4510891,10,8302778,4147,892786,9269491,6742750
"67",2022,"July","British Columbia",5356284,12,9041067,127018,1220378,5693634,4415055
"68",2022,"July","Manitoba",1413409,6,2210276,4382,199626,2131488,2041077
"69",2022,"July","New Brunswick",809568,7,1401075,55932,117738,2477397,927595
"70",2022,"July","Newfoundland and Labrador",531583,4,941916,188893,78953,258207,601566
"71",2022,"July","Northwest Territories",44685,0,75487,0,5914,936,53724
"72",2022,"July","Nova Scotia",1025445,3,1748232,1211,169077,907082,798046
"73",2022,"July","Nunavut",40485,2,47341,0,2360,4691,13790
"74",2022,"July","Ontario",15145006,30,24384537,224004,2791722,31054727,12662939
"75",2022,"July","Prince Edward Island",167188,0,288846,0,33269,257736,116853
"76",2022,"July","Quebec",8672185,18,14221299,378586,1378093,17601528,14849936
"77",2022,"July","Saskatchewan",1178422,6,2069413,1859,183438,2207082,2076647
"78",2022,"July","Yukon",43905,0,92718,0,7596,3226,35224
"79",2022,"June","Alberta",4480956,8,8121051,2228,883030,9318924,5997900
"80",2022,"June","British Columbia",5310164,28,9078781,147520,1231272,5772187,4261299
"81",2022,"June","Manitoba",1405197,8,2214811,5621,198459,2285026,1937717
"82",2022,"June","New Brunswick",801778,5,1383800,1156,114825,2290673,906743
"83",2022,"June","Newfoundland and Labrador",529249,5,913765,46353,76517,335747,674876
"84",2022,"June","Northwest Territories",44828,0,79997,0,5855,737,51923
"85",2022,"June","Nova Scotia",1014827,4,1723020,79159,165816,918755,732804
"86",2022,"June","Nunavut",40489,0,47139,0,2376,4905,13611
"87",2022,"June","Ontario",15046211,31,26018417,241197,2772241,30941729,11279592
"88",2022,"June","Prince Edward Island",165524,0,286693,0,31796,242451,115792
"89",2022,"June","Quebec",8627524,29,14232987,507612,1369086,18309689,14437748
"90",2022,"June","Saskatchewan",1173366,1,2110529,1684,182096,2083973,1894470
"91",2022,"June","Yukon",43454,3,97515,0,7702,3165,36495
"92",2022,"March","Alberta",4465537,16,7969592,4781,864944,9081528,6424649
"93",2022,"March","British Columbia",5286478,41,8840646,64115,1202772,6092015,5867422
"94",2022,"March","Manitoba",1400663,12,2161744,6882,193174,2087011,2463401
"95",2022,"March","New Brunswick",798656,3,1342349,67036,113005,2312119,1432127
"96",2022,"March","Newfoundland and Labrador",528977,7,915525,44268,75167,353745,756918
"97",2022,"March","Northwest Territories",44791,0,75095,0,5505,2315,64056
"98",2022,"March","Nova Scotia",1010460,13,1679126,50197,161994,926314,1063806
"99",2022,"March","Nunavut",40285,1,46914,0,2467,1492,18038
"100",2022,"March","Ontario",14999441,49,24449807,148956,2668843,30834243,12102639
"101",2022,"March","Prince Edward Island",164195,0,268194,0,29575,265957,158100
"102",2022,"March","Quebec",8613999,42,13895189,350368,1297521,17549533,21228287
"103",2022,"March","Saskatchewan",1171031,12,2024775,1900,175247,2128178,2053769
"104",2022,"March","Yukon",43063,5,88760,0,7045,3097,51895
"105",2022,"May","Alberta",4480956,24,8305570,4759,872710,9388741,6285126
"106",2022,"May","British Columbia",5310164,25,9079182,109554,1218189,5825999,4880172
"107",2022,"May","Manitoba",1405197,13,2229843,3918,195297,2076402,1962270
"108",2022,"May","New Brunswick",801778,0,1404213,794,115208,2471825,1049670
"109",2022,"May","Newfoundland and Labrador",529249,3,934566,119265,75795,409908,524176
"110",2022,"May","Northwest Territories",44828,1,79560,0,5830,958,56759
"111",2022,"May","Nova Scotia",1014827,4,1739422,37501,164730,1004240,828446
"112",2022,"May","Nunavut",40489,2,47230,0,NA,3286,15324
"113",2022,"May","Ontario",15046211,50,25024064,194880,2748368,30651394,11064296
"114",2022,"May","Prince Edward Island",165524,1,281040,0,31544,259746,122467
"115",2022,"May","Quebec",8627524,48,14433076,276890,1344361,18429175,15099751
"116",2022,"May","Saskatchewan",1173366,7,2070236,1563,178919,2189935,1916345
"117",2022,"May","Yukon",43454,4,91332,2,7643,3081,43007
"118",2022,"November","Alberta",4561350,10,8360709,2301,912873,9214758,7148006
"119",2022,"November","British Columbia",5403528,9,9092190,78043,1278621,5675198,6002685
"120",2022,"November","Manitoba",1423596,4,2288205,4505,208114,2161392,2403109
"121",2022,"November","New Brunswick",817766,5,1390284,119534,121153,2157696,1168524
"122",2022,"November","Newfoundland and Labrador",533444,4,941705,50045,80491,344067,1017971
"123",2022,"November","Northwest Territories",44664,0,75116,0,6286,400,60533
"124",2022,"November","Nova Scotia",1035666,8,1774502,73682,172396,880543,896832
"125",2022,"November","Nunavut",40431,0,50626,0,NA,2644,17358
"126",2022,"November","Ontario",15283961,81,24433107,111969,2836779,31273531,11629937
"127",2022,"November","Prince Edward Island",169146,1,291303,0,34070,267337,130497
"128",2022,"November","Quebec",8730868,19,14458071,306536,1456634,18061709,17881166
"129",2022,"November","Saskatchewan",1187607,7,2160407,1237,190565,2234137,2251481
"130",2022,"November","Yukon",44113,2,90625,275,7703,3104,55890
"131",2022,"October","Alberta",4561350,17,8335571,3096,929684,9552119,6712035
"132",2022,"October","British Columbia",5403528,21,9054851,74971,1280830,5680139,4880649
"133",2022,"October","Manitoba",1423596,12,2260312,6322,204940,2296598,2101416
"134",2022,"October","New Brunswick",817766,4,1442466,2366,121999,2048380,951114
"135",2022,"October","Newfoundland and Labrador",533444,5,967901,127046,80626,284859,817304
"136",2022,"October","Northwest Territories",44664,1,78987,0,6039,695,58905
"137",2022,"October","Nova Scotia",1035666,11,1779588,95904,172218,883748,824472
"138",2022,"October","Nunavut",40431,0,50578,0,2333,3149,16400
"139",2022,"October","Ontario",15283961,35,24490479,156534,2846806,30815859,10641029
"140",2022,"October","Prince Edward Island",169146,3,292067,0,34005,251369,108174
"141",2022,"October","Quebec",8730868,21,14506705,356569,1448887,17930031,15408765
"142",2022,"October","Saskatchewan",1187607,5,2172581,1900,187286,2306652,2002209
"143",2022,"October","Yukon",44113,2,90847,4,7527,3373,46972
"144",2022,"September","Alberta",4510891,18,8205353,2007,920380,8971979,6658213
"145",2022,"September","British Columbia",5356284,26,8978529,81527,1265416,5686561,4465966
"146",2022,"September","Manitoba",1413409,8,2209132,5180,202024,2166206,1875244
"147",2022,"September","New Brunswick",809568,17,1379997,57258,117393,2051245,891602
"148",2022,"September","Newfoundland and Labrador",531583,2,942387,73311,78517,287861,680140
"149",2022,"September","Northwest Territories",44685,1,78038,0,5978,696,51064
"150",2022,"September","Nova Scotia",1025445,7,1688605,39755,165903,875590,734760
"151",2022,"September","Nunavut",40485,2,48576,0,2237,2828,14723
"152",2022,"September","Ontario",15145006,57,24553180,164757,2762410,30470934,10972180
"153",2022,"September","Prince Edward Island",167188,0,278225,0,32937,234455,103999
"154",2022,"September","Quebec",8672185,33,14138462,326910,1447569,17602316,14290227
"155",2022,"September","Saskatchewan",1178422,6,2119847,1299,183806,2133732,1915509
"156",2022,"September","Yukon",43905,0,89043,312,7697,2995,36952
"157",2023,"April","Alberta",4645229,17,8442229,20806,992381,8160867,5807474
"158",2023,"April","British Columbia",5466646,40,8993988,112114,1334064,5382844,5530779
"159",2023,"April","Manitoba",1443875,8,2224585,5827,216687,2183404,2123802
"160",2023,"April","New Brunswick",826622,13,1400548,1148,128235,1947472,923138
"161",2023,"April","Newfoundland and Labrador",536291,7,895532,33004,87680,254649,925900
"162",2023,"April","Northwest Territories",44678,1,76584,0,6344,NA,57756
"163",2023,"April","Nova Scotia",1047803,12,1795273,41310,182887,851048,856862
"164",2023,"April","Nunavut",40481,3,50247,0,2639,NA,16294
"165",2023,"April","Ontario",15457075,74,24737279,289340,3049643,32473597,10813550
"166",2023,"April","Prince Edward Island",171790,7,284482,0,36011,274511,134886
"167",2023,"April","Quebec",8814007,29,14718248,270993,1487126,17703414,16563179
"168",2023,"April","Saskatchewan",1200540,10,2074041,1180,200846,1976771,2071462
"169",2023,"April","Yukon",44596,3,94491,0,8793,3511,43336
"170",2023,"August","Alberta",4695290,6,8483455,2833,996700,8710849,6608999
"171",2023,"August","British Columbia",5519013,18,9022166,146116,1330385,5395461,5281085
"172",2023,"August","Manitoba",1454902,10,2230934.75,8498,211168,2239624,1882603
"173",2023,"August","New Brunswick",834691,1,1446891.25,20944,125756,2091287,953906
"174",2023,"August","Newfoundland and Labrador",538605,2,948533.75,98033,84345,313334,745753
"175",2023,"August","Northwest Territories",44972,0,58561.5,2892,4553,1122,47157
"176",2023,"August","Nova Scotia",1058694,0,1759929.75,106987,177126,928099,831061
"177",2023,"August","Nunavut",40673,0,51649.25,51745,3238,1650,14385
"178",2023,"August","Ontario",15608369,54,24702309,128524,2988153,32840842,12441503
"179",2023,"August","Prince Edward Island",173787,1,303921.25,0,35823,302980,125222
"180",2023,"August","Quebec",8874683,8,14891492.5,411710,1507407,17561169,14380558
"181",2023,"August","Saskatchewan",1209107,2,2085077.75,1723,193552,1998384,2097205
"182",2023,"August","Yukon",44975,2,104457.75,0,9097,4393,34305
"183",2023,"February","Alberta",4598444,12,8488163,2750,995741,8741774,5989828
"184",2023,"February","British Columbia",5431355,18,8823549,254352,1376694,5386630,5970957
"185",2023,"February","Manitoba",1432674,6,2234486,4742,219486,2232002,2555023
"186",2023,"February","New Brunswick",820943,3,1489028,921,129806,2071105,1208657
"187",2023,"February","Newfoundland and Labrador",534964,5,973441,111930,88158,338631,1272487
"188",2023,"February","Northwest Territories",44515,3,78786,0,6493,352,65602
"189",2023,"February","Nova Scotia",1040195,9,1766190,64114,184107,879024,1116601
"190",2023,"February","Nunavut",40521,0,51259,0,2341,1146,17103
"191",2023,"February","Ontario",15378179,43,24936661,87348,3050771,31790489,11605133
"192",2023,"February","Prince Edward Island",169935,1,302847,0,36768,276812,166169
"193",2023,"February","Quebec",8767038,25,14798435,196004,1508682,17817524,21295362
"194",2023,"February","Saskatchewan",1194869,2,2097761,1279,202518,2001253,2122519
"195",2023,"February","Yukon",44386,2,94197,83,8469,3560,53543
"196",2023,"January","Alberta",4598444,9,8663913,2266,999786,9727960,7058386
"197",2023,"January","British Columbia",5431355,13,9115422,134056,1363389,5528680,6291468
"198",2023,"January","Manitoba",1432674,7,2369089,5350,219319,2273078,2828703
"199",2023,"January","New Brunswick",820943,3,1385819,943,128232,2206831,1177641
"200",2023,"January","Newfoundland and Labrador",534964,10,980716,46636,87327,332144,1230559
"201",2023,"January","Northwest Territories",44515,0,78968,0,6592,755,68855
"202",2023,"January","Nova Scotia",1040195,8,1820428,97242,185422,880417,1109457
"203",2023,"January","Nunavut",40521,0,49857,0,2232,3182,18813
"204",2023,"January","Ontario",15378179,26,24703125,142650,3051555,32752005,12915010
"205",2023,"January","Prince Edward Island",169935,0,297691,0,35689,275895,179556
"206",2023,"January","Quebec",8767038,23,14618704,307473,1518861,18153027,22695765
"207",2023,"January","Saskatchewan",1194869,3,2197969,1891,202118,2189813,2361511
"208",2023,"January","Yukon",44386,0,96548,612,NA,3319,61452
"209",2023,"July","Alberta",4695290,4,8418915,2564,995174,8197449,6724704
"210",2023,"July","British Columbia",5519013,22,9122863.25,171570,1342882,5214985,5233571
"211",2023,"July","Manitoba",1454902,21,2192358.75,5608,213333,1999106,1896873
"212",2023,"July","New Brunswick",834691,3,1454475,826,127890,1978067,1008299
"213",2023,"July","Newfoundland and Labrador",538605,1,980108.25,80604,86202,252991,714052
"214",2023,"July","Northwest Territories",44972,0,77650.75,0,6275,725,51245
"215",2023,"July","Nova Scotia",1058694,3,1723955.5,44591,183019,849736,855864
"216",2023,"July","Nunavut",40673,1,50501.5,78068,NA,1279,13976
"217",2023,"July","Ontario",15608369,48,24750511.5,128416,3032179,33153694,13148956
"218",2023,"July","Prince Edward Island",173787,0,295527.5,0,36184,271435,137258
"219",2023,"July","Quebec",8874683,15,14902254,470402,1494615,17812590,15062781
"220",2023,"July","Saskatchewan",1209107,1,2075346.5,2169,196461,2025618,2067133
"221",2023,"July","Yukon",44975,0,106761,0,9229,4073,33274
"222",2023,"June","Alberta",4645229,9,8450520.33333333,1737,985279,7882588,5950916
"223",2023,"June","British Columbia",5466646,26,9001792,111755,1343375,5399213,4880348
"224",2023,"June","Manitoba",1443875,8,2193838.66666667,7626,212026,2236963,1954075
"225",2023,"June","New Brunswick",826622,2,1441260,604,124708,1937668,946138
"226",2023,"June","Newfoundland and Labrador",536291,3,937544.333333333,146409,84217,234892,820197
"227",2023,"June","Northwest Territories",44678,0,75512.6666666667,0,6503,NA,52988
"228",2023,"June","Nova Scotia",1047803,7,1759576,41120,178486,914923,742771
"229",2023,"June","Nunavut",40481,1,49166,0,2872,NA,13978
"230",2023,"June","Ontario",15457075,65,24851048.3333333,138530,3022925,33043072,11449270
"231",2023,"June","Prince Edward Island",171790,2,292351.333333333,0,35633,276289,111470
"232",2023,"June","Quebec",8814007,16,14698285.6666667,188145,1470603,17122745,14411035
"233",2023,"June","Saskatchewan",1200540,7,2054730,1708,197087,1680552,1973535
"234",2023,"June","Yukon",44596,0,99462.6666666667,0,9234,4091,34276
"235",2023,"March","Alberta",4598444,13,8384050,6587,970178,9085415,6361919
"236",2023,"March","British Columbia",5431355,26,8907392,242710,1343740,5308619,6255311
"237",2023,"March","Manitoba",1432674,3,2215969,6357,212881,2162871,2622577
"238",2023,"March","New Brunswick",820943,3,1351657,1296,125981,2014679,1095965
"239",2023,"March","Newfoundland and Labrador",534964,6,933420,60421,87692,340737,1224705
"240",2023,"March","Northwest Territories",44515,0,75055,0,NA,949,63172
"241",2023,"March","Nova Scotia",1040195,4,1723791,20609,180368,920740,1098396
"242",2023,"March","Nunavut",40521,3,49949,0,2249,1492,18073
"243",2023,"March","Ontario",15378179,38,24407457,127401,3003946,31650493,12143783
"244",2023,"March","Prince Edward Island",169935,4,287333,0,35617,296518,171190
"245",2023,"March","Quebec",8767038,30,14629014,286937,1465637,18230379,20501070
"246",2023,"March","Saskatchewan",1194869,1,2059956,2267,199121,1981328,2337711
"247",2023,"March","Yukon",44386,1,92233,0,8194,3512,56176
"248",2023,"May","Alberta",4645229,13,8569516,15185,982998,8466759,6169285
"249",2023,"May","British Columbia",5466646,23,9314842.5,151771,1341334,5354339,4675289
"250",2023,"May","Manitoba",1443875,11,2272418,3834,210574,2273082,1900269
"251",2023,"May","New Brunswick",826622,12,1400630,1021,126389,1955806,1054700
"252",2023,"May","Newfoundland and Labrador",536291,7,977405.5,104606,84497,230837,933348
"253",2023,"May","Northwest Territories",44678,0,79235,0,6574,NA,50491
"254",2023,"May","Nova Scotia",1047803,10,1774063,41336,178973,899374,805818
"255",2023,"May","Nunavut",40481,2,49878,0,NA,NA,15424
"256",2023,"May","Ontario",15457075,53,24501976.5,233467,3049922,33582835,10989014
"257",2023,"May","Prince Edward Island",171790,4,295452.5,0,35898,277239,124109
"258",2023,"May","Quebec",8814007,23,14487208.5,190819,1465317,17219461,15286596
"259",2023,"May","Saskatchewan",1200540,4,2017448,1531,196633,2070612,2014434
"260",2023,"May","Yukon",44596,0,96260,0,9257,4132,41007
"261",2023,"November","Alberta",4756408,20,8571128,2159,1019426,8740319,6904386
"262",2023,"November","British Columbia",5581127,27,9178536,75315,1368515,5536415,6211248
"263",2023,"November","Manitoba",1465440,10,2270681,3433,218308,2218465,2189819
"264",2023,"November","New Brunswick",842725,5,1469862,1239,130937,1810713,1228522
"265",2023,"November","Newfoundland and Labrador",540418,7,945189,161520,86942,274220,1050354
"266",2023,"November","Northwest Territories",44760,2,83091,0,6494,NA,56018
"267",2023,"November","Nova Scotia",1066416,11,1755586,20668,185277,893123,968366
"268",2023,"November","Nunavut",40817,1,49782,76768,4652,NA,17028
"269",2023,"November","Ontario",15801768,62,24901047,106134,3084551,31833944,12093483
"270",2023,"November","Prince Edward Island",175853,2,306554,0,36342,279229,139348
"271",2023,"November","Quebec",8948540,43,14861184,311386,1550373,17986302,18782951
"272",2023,"November","Saskatchewan",1218976,5,2118073,1314,203970,2133737,2199838
"273",2023,"November","Yukon",45148,4,97695,0,9460,4468,63017
"274",2023,"October","Alberta",4756408,17,8524706,2004,1020938,8664111,6576535
"275",2023,"October","British Columbia",5581127,31,9116046,144566,1360250,5398924,5481719
"276",2023,"October","Manitoba",1465440,14,2263706,4114,214117,2224327,1883566
"277",2023,"October","New Brunswick",842725,4,1470290,1137,129902,1918335,982231
"278",2023,"October","Newfoundland and Labrador",540418,7,953907,0,86490,259634,817346
"279",2023,"October","Northwest Territories",44760,0,83353.5,0,6509,NA,47285
"280",2023,"October","Nova Scotia",1066416,8,1774644,63643,180974,920235,825066
"281",2023,"October","Nunavut",40817,0,54694.5,0,3715,NA,16165
"282",2023,"October","Ontario",15801768,91,24940255,110879,3042934,31167250,11422274
"283",2023,"October","Prince Edward Island",175853,4,302505,0,35466,284081,118057
"284",2023,"October","Quebec",8948540,36,15090182.5,267734,1534894,17796082,15244058
"285",2023,"October","Saskatchewan",1218976,14,2180903.5,1628,198505,2021620,1979795
"286",2023,"October","Yukon",45148,3,94912,0,9268,3253,50892
"287",2023,"September","Alberta",4695290,19,8548094.33333333,2956,1004084,9172187,6298895
"288",2023,"September","British Columbia",5519013,40,9073433,127585,1351233,5360919,4957719
"289",2023,"September","Manitoba",1454902,20,2255683.66666667,5158,212430,2244122,1744014
"290",2023,"September","New Brunswick",834691,12,1444919.66666667,24572,124672,2189054,905474
"291",2023,"September","Newfoundland and Labrador",538605,6,943546.333333333,123003,84021,274569,718676
"292",2023,"September","Northwest Territories",44972,0,68868.6666666667,24660,5178,1411,48440
"293",2023,"September","Nova Scotia",1058694,13,1772434,42237,178627,889488,773087
"294",2023,"September","Nunavut",40673,0,54499,0,3058,2783,14630
"295",2023,"September","Ontario",15608369,73,24758223.6666667,149100,3009578,32607487,11407506
"296",2023,"September","Prince Edward Island",173787,4,304682,0,35896,279585,117725
"297",2023,"September","Quebec",8874683,22,14978844.3333333,327837,1528758,17810464,14563138
"298",2023,"September","Saskatchewan",1209107,7,2151378.33333333,1250,196160,2094269,1892052
"299",2023,"September","Yukon",44975,3,97186.6666666667,0,9221,3892,37029
